name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
rgommezz/react-native-offline,123,6,159,6,1,0,0
risingstack/react-easy-state,69,9,191,27,1,0,0
rnosov/react-reveal,22,22,22,22,1,0,0
roman01la/html-to-react-components,9,8,9,8,1,0,0
roxiness/routify,135,7,126,8,1,0,0
rpearce/image-zoom,20,18,81,32,1,0,0
rtfpessoa/diff2html,93,69,93,69,0,1,0
rubylouvre/anu,832,2,1774,2,1,0,0
salesforce-ux/design-system,1388,10,209,10,1,0,0
salesforce-ux/theo,88,29,97,29,1,0,0
salesforce/lwc,1732,2,3159,2,0,1,0
samdenty/gqless,149,46,608,91,0,1,0
sanity-io/sanity,846,164,1478,227,0,0,1
scratchfoundation/scratch-gui,369,5,678,5,1,0,0
scullyio/scully,127,12,161,15,1,0,0
seatgeek/react-infinite,92,20,138,22,1,0,0
seek-oss/braid-design-system,273,13,847,13,0,0,1
seek-oss/capsize,29,26,29,26,0,1,0
seek-oss/treat,64,55,71,55,0,0,1
seek-oss/vanilla-extract,192,156,233,191,0,0,1
segmentio/evergreen,317,19,432,19,0,0,1
seleniumhq/selenium-ide,1185,713,1675,728,1,0,0
selfrefactor/rambda,922,6,1489,6,0,0,1
sequelize/umzug,94,7,225,16,0,1,0
sergiodxa/remix-utils,149,10,257,10,0,1,0
serverless-nextjs/serverless-next.js,1093,23,1538,23,1,0,0
shikijs/shiki,49,22,94,22,1,0,0
shipitjs/shipit,145,3,265,3,0,1,0
shopify/hydrogen-v1,560,27,1024,41,0,1,0
shopify/polaris,2841,5,3436,5,1,0,0
shopify/quilt,2129,34,3005,142,1,0,0
shopify/slate,128,4,190,9,1,0,0
shoutem/ui,6,1,1,1,1,0,0
signavio/react-mentions,71,4,118,8,1,0,0
siimon/prom-client,221,5,620,5,1,0,0
silexlabs/silex,125,1,632,1,1,0,0
smartxworks/sunmao-ui,137,9,322,10,0,1,0
snowpackjs/snowpack,273,37,451,51,0,0,1
sofn-xyz/mailing,180,16,430,16,1,0,0
sokra/rawact,17,17,20,20,1,0,0
souporserious/react-measure,7,2,18,4,1,0,0
sparkpost/heml,1,1,1,1,1,0,0
spritejs/spritejs,105,21,428,41,1,0,0
sql-formatter-org/sql-formatter,443,19,493,19,1,0,0
ssense/vue-carousel,109,33,160,33,1,0,0
statelyai/xstate,921,27,1015,33,0,0,1
statoscope/statoscope,178,105,400,179,0,0,1
staylor/react-helmet-async,224,125,992,163,1,0,0
stereobooster/react-snap,52,1,91,1,1,0,0
steveruizok/perfect-freehand,7,2,9,3,1,0,0
stoplightio/prism,489,13,618,13,1,0,0
storybookjs/react-treebeard,17,1,17,1,1,0,0
strapi/strapi,2704,114,5079,118,0,0,1
streamich/git-cz,8,2,7,2,1,0,0
streamich/libreact,174,19,270,19,1,0,0
streamich/memfs,314,3,465,3,1,0,0
strml/react-resizable,18,2,38,2,1,0,0
styled-components/jest-styled-components,63,6,65,12,0,0,1
styled-components/styled-theming,6,2,16,4,1,0,0
styled-components/xstyled,220,4,451,4,0,1,0
styled-system/styled-system,161,4,181,4,1,0,0
styleguidist/react-styleguidist,620,184,791,188,0,0,1
stylelint/stylelint,1029,11,1967,11,1,0,0
supasate/connected-react-router,53,2,76,2,1,0,0
surnet/swagger-jsdoc,46,11,61,11,1,0,0
sveltejs/svelte-preprocess,131,6,187,6,0,1,0
svg-sprite/svg-sprite,350,15,618,15,1,0,0
svg/svgo,93,5,142,6,0,1,0
swagger-api/swagger-js,857,26,1271,26,1,0,0
swc-project/swc-node,23,2,2,2,0,1,0
system-ui/theme-ui,307,70,410,71,0,0,1
tailwindlabs/tailwindcss-custom-forms,27,27,27,27,0,1,0
tailwindlabs/tailwindcss,668,6,925,6,0,0,1
tameemsafi/typewriterjs,90,17,158,18,1,0,0
tanstack/react-table,74,4,198,8,1,0,0
taskrabbit/react-native-parsed-text,15,8,30,11,0,1,0
tencent/cherry-markdown,5,1,5,1,1,0,0
testing-library/dom-testing-library,283,30,643,37,0,0,1
testshallpass/react-native-dropdownalert,78,1,146,1,1,0,0
th3rdwave/react-native-safe-area-context,11,8,13,9,1,0,0
theatre-js/theatre,90,1,268,4,0,1,0
tonaljs/tonal,257,2,652,2,0,1,0
toomuchdesign/re-reselect,34,1,56,1,1,0,0
transloadit/uppy,374,1,724,1,1,0,0
triggerdotdev/jsonhero-web,19,10,46,11,0,1,0
trivago/parallel-webpack,60,5,58,5,1,0,0
trojanowski/react-apollo-hooks,49,31,160,63,0,1,0
trpc/trpc,198,90,517,153,0,1,0
tulios/kafkajs,1021,4,1888,4,1,0,0
tusimple/naive-ui,924,70,1790,133,1,0,0
twilio/twilio-video-app-react,597,29,877,29,0,0,1
typegoose/typegoose,301,77,1032,80,1,0,0
typescripttolua/typescripttolua,1089,4,218,4,1,0,0
umijs/hox,11,10,25,19,1,0,0
umijs/umi,427,25,577,26,0,0,1
urigo/graphql-mesh,429,73,873,74,0,0,1
urigo/graphql-scalars,845,18,1064,18,0,0,1
vagr9k/gatsby-advanced-starter,132,36,274,43,1,0,0
vanilla-extract-css/vanilla-extract,244,207,306,257,0,0,1
vant-ui/vant-weapp,55,53,57,54,1,0,0
vercel/next.js,3425,208,5121,240,0,0,1
vercel/swr,322,4,339,5,0,1,0
vercel/vercel,820,10,1338,10,0,1,0
vitalets/react-native-extended-stylesheet,91,1,146,1,1,0,0
vkbansal/react-contextmenu,17,2,46,4,1,0,0
vsmode/pixel8,7,2,19,3,1,0,0
vuedx/languagetools,183,6,521,8,0,1,0
vuejs/vue-router-next,584,11,865,13,0,0,1
